Playername,Country,Age,Height,Position,Mean Year,Appearances,Goals,,,,,,
&#x17D;eljko Pavlovi&#x107;,Croatia,43,1.88,Goalkeeper,1998.5,7,0,,,,,,
Marco Bode,Germany,45,1.92,Midfielder,1998.5,40,9,,,,,,
J&#xF6;rg Heinrich,Germany,44,1.86,Defender,1998.5,37,2,,,,,,
Christian Nerlinger,Germany,41,1.82,Midfielder,1998.5,6,1,,,,,,
Mehmet Scholl,Germany,43,1.77,Midfielder,1998.5,36,8,,,,,,
Christian W&#xF6;rns,Germany,42,1.85,Midfielder,1998.5,66,0,,,,,,
Dariusz Wosz,Germany,45,1.69,playmaker,1998.5,17,1,,,,,,
Christian Ziege,Germany,42,1.88,Defender,1998.5,72,9,,,,,,
Marko Kristal,Estonia,41,1.83,Midfielder,1998.5,143,9,,,,,,
Andy Cole,England,42,,Forward,1998.5,15,1,,,,,,
Dariusz Wosz,East Germany,45,1.69,playmaker,1998.5,17,1,,,,,,
Marcel Desailly,France,45,1.83,Defender,1998.5,116,3,,,,,,
Sabri Lamouchi,France,42,1.75,Midfielder,1998.5,12,1,,,,,,
Frank Leboeuf,France,46,1.84,Defender,1998.5,50,4,,,,,,
Jimmy Bland&#xF3;n,Ecuador,45,1.69,Midfielder,1998.5,30,0,,,,,,
Ariel Graziani,Ecuador,43,1.82,Forward,1998.5,34,15,,,,,,
Ferenc Horv&#xE1;th,Hungary,41,1.86,Forward,1998.5,32,12,,,,,,
Attila Kuttor,Hungary,44,1.9,Defender,1998.5,19,1,,,,,,
Szabolcs S&#xE1;f&#xE1;r,Hungary,40,1.89,Goalkeeper,1998.5,14,0,,,,,,
Samuel Johnson (footballer born 1973),Ghana,41,1.82,Midfielder,1998.5,45,0,,,,,,
Yannis Anastasiou,Greece,41,1.85,Forward,1998.5,5,0,,,,,,
Grigoris Georgatos,Greece,41,1.75,Defender,1998.5,35,3,,,,,,
Georgios Georgiadis (footballer),Greece,42,1.73,Midfielder,1998.5,61,11,,,,,,
Nikolaos Michopoulos,Greece,44,,Goalkeeper,1998.5,15,0,,,,,,
Juan Manuel Coello,Honduras,38,,Midfielder,1998.5,3,0,,,,,,
Milton Flores,Honduras,,1.8,Goalkeeper,1998.5,22,0,,,,,,
Christian Santamar&#xED;a,Honduras,41,1.76,Midfielder,1998.5,46,4,,,,,,
Jos&#xE9; Manuel Abundis,Mexico,41,1.77,Forward,1998.5,47,10,,,,,,
Paulo Ch&#xE1;vez,Mexico,38,1.76,Midfielder,1998.5,30,2,,,,,,
Luis Hern&#xE1;ndez (footballer),Mexico,45,1.75,Forward,1998.5,85,35,,,,,,
Joel S&#xE1;nchez (Mexican footballer),Mexico,40,1.75,Defender,1998.5,32,3,,,,,,
Takashi Hirano,Japan,40,,Midfielder,1998.5,15,4,,,,,,
Akira Narahashi,Japan,42,1.7,Defender,1998.5,38,0,,,,,,
Sandro Cois,Italy,42,1.78,Midfielder,1998.5,3,0,,,,,,
Enrico Chiesa,Italy,43,1.76,Forward,1998.5,22,7,,,,,,
Francesco Moriero,Italy,45,1.73,Midfielder,1998.5,8,2,,,,,,
Avishai Jano,Israel,44,,Defender,1998.5,16,0,,,,,,
Ofer Shitrit,Israel,44,,Forward,1998.5,6,1,,,,,,
Amir Turgeman,Israel,42,,Forward,1998.5,13,2,,,,,,
Esmail Halali,Iran,41,,Midfielder,1998.5,15,0,,,,,,
Hadi Tabatabaei,Iran,41,,Goalkeeper,1998.5,14,0,,,,,,
Carlos Asprilla,Colombia,43,,Forward,1998.5,10,0,,,,,,
John Wilmar P&#xE9;rez,Colombia,44,1.69,Midfielder,1998.5,19,0,,,,,,
Dries Boussatta,Netherlands,41,1.69,Midfielder,1998.5,3,0,,,,,,
Marc Overmars,Netherlands,41,1.74,Midfielder,1998.5,86,17,,,,,,
Kees van Wonderen,Netherlands,45,1.87,Defender,1998.5,5,0,,,,,,
Samuel Okunowo,Nigeria,35,1.8,Defender,1998.5,8,0,,,,,,
Jero Shakpoke,Nigeria,34,1.83,Defender,1998.5,7,0,,,,,,
Rui Costa,Portugal,42,1.8,Midfielder,1998.5,94,26,,,,,,
Jorge Costa,Portugal,42,1.88,Defender,1998.5,50,2,,,,,,
Dimas Teixeira,Portugal,45,1.85,Defender,1998.5,44,0,,,,,,
Lu&#xED;s Figo,Portugal,41,1.8,Midfielder,1998.5,127,32,,,,,,
Roman D&#x105;browski,Poland,42,1.84,Forward,1998.5,5,0,,,,,,
Tomasz Iwan,Poland,43,,Midfielder,1998.5,40,4,,,,,,
Krzysztof Ratajczyk,Poland,40,1.86,Defender,1998.5,16,3,,,,,,
Bogus&#x142;aw Wypar&#x142;o,Poland,39,1.83,Goalkeeper,1998.5,3,0,,,,,,
Edgar Aguilera,Paraguay,39,1.75,Defender,1998.5,8,0,,,,,,
Richart B&#xE1;ez,Paraguay,41,1.81,Forward,1998.5,26,2,,,,,,
Jos&#xE9; Cardozo,Paraguay,43,1.83,Forward,1998.5,83,25,,,,,,
Kevin Horlock,Northern Ireland,41,,Midfielder,1998.5,32,0,,,,,,
Steve Lomas,Northern Ireland,40,,Midfielder,1998.5,45,3,,,,,,
Yuri Kovtun,Russia,44,1.91,Defender,1998.5,50,2,,,,,,
Yevgeni Varlamov,Russia,39,1.89,Defender,1998.5,10,1,,,,,,
Valery Yesipov,Russia,42,1.7,Forward,1998.5,5,0,,,,,,
Billy Dodds,Scotland,45,,Forward,1998.5,26,7,,,,,,
Rudi Isteni&#x10D;,Slovenia,43,1.85,Midfielder,1998.5,17,0,,,,,,
Ermin &#x160;iljak,Slovenia,41,,Forward,1998.5,48,14,,,,,,
Kim Do-hoon,South Korea,44,1.83,Forward,1998.5,72,30,,,,,,
Dennis &#x218;erban,Romania,38,1.73,Midfielder,1998.5,13,1,,,,,,
Rodrigo Lemos,Uruguay,40,1.78,Midfielder,1998.5,8,1,,,,,,
Federico Magallanes,Uruguay,37,1.91,Forward,1998.5,26,6,,,,,,
Washington Tais,Uruguay,41,1.8,Defender,1998.5,18,0,,,,,,
Arif Erdem,Turkey,42,1.8,Forward,1998.5,60,11,,,,,,
Sergen Yal&#xE7;&#x131;n,Turkey,41,1.77,Midfielder,1998.5,37,5,,,,,,
Vasyl Kardash,Ukraine,41,1.85,Defender,1998.5,14,0,,,,,,
Volodymyr Mykytyn,Ukraine,44,1.75,Defender,1998.5,13,0,,,,,,
Eduard Tsykhmeystruk,Ukraine,41,1.7,Midfielder,1998.5,7,0,,,,,,
Toni Jim&#xE9;nez,Spain,43,1.86,Goalkeeper,1998.5,3,0,,,,,,
Marcelino Elena,Spain,42,1.87,Defender,1998.5,5,0,,,,,,
Ismael Urzaiz,Spain,42,1.88,Forward,1998.5,25,8,,,,,,
Roberto Bonano,Argentina,44,1.86,Goalkeeper,1999,13,0,,,,,,
Juan Ram&#xF3;n Fern&#xE1;ndez,Argentina,34,1.73,Defender,1999,1,0,,,,,,
Andr&#xE9;s Guglielminpietro,Argentina,40,,Midfielder,1999,6,0,,,,,,
Claudio L&#xF3;pez (footballer),Argentina,40,1.78,Forward,1999,55,10,,,,,,
Sebasti&#xE1;n M&#xE9;ndez,Argentina,37,1.77,Defender,1999,2,0,,,,,,
Fernando Pandolfi,Argentina,40,1.82,Forward,1999,2,0,,,,,,
Jorge San Esteban,Argentina,42,1.77,Defender,1999,1,0,,,,,,
Zoran Barisic,Austria,44,,Midfielder,1999,1,0,,,,,,
Richard Kitzbichler,Austria,40,1.74,Midfielder,1999,17,0,,,,,,
Roland Kirchler,Austria,43,1.86,Midfielder,1999,28,5,,,,,,
Toni Brogno,Belgium,41,,Forward,1999,7,0,,,,,,
Nico Van Kerckhoven,Belgium,43,1.89,Defender,1999,42,3,,,,,,
M&#xE1;rcio Amoroso,Brazil,40,1.8,Forward,1999,19,9,,,,,,
Sonny Anderson,Brazil,43,1.81,Forward,1999,7,1,,,,,,
Marcos Assun&#xE7;&#xE3;o,Brazil,38,1.78,Midfielder,1999,11,1,,,,,,
Christian Corr&#xEA;a Dionisio,Brazil,39,1.86,Forward,1999,11,0,,,,,,
Djalminha,Brazil,43,1.76,Midfielder,1999,14,5,,,,,,
Djair Kaye de Brito,Brazil,42,,Midfielder,1999,2,0,,,,,,
Jo&#xE3;o Carlos dos Santos,Brazil,41,1.83,Defender,1999,10,1,,,,,,
Juninho Paulista,Brazil,41,1.65,Midfielder,1999,50,5,,,,,,
Luiz Bombonato Goulart,Brazil,38,1.78,Forward,1999,12,4,,,,,,
Luiz Alberto da Silva Oliveira,Brazil,36,1.86,Defender,1999,1,0,,,,,,
Roberto Carlos (footballer),Brazil,41,1.68,Defender,1999,125,11,,,,,,
R&#xF4;ni,Brazil,37,1.71,Forward,1999,5,2,,,,,,
Rafael Scheidt,Brazil,38,1.83,Defender,1999,3,0,,,,,,
Warley Silva dos Santos,Brazil,36,1.78,Forward,1999,4,0,,,,,,
Daniel Bekono,Cameroon,36,1.84,Goalkeeper,1999,1,0,,,,,,
Edouard Oum Ndeki,Cameroon,,,Midfielder,1999,1,0,,,,,,
Bernard Tchoutang,Cameroon,37,1.77,Forward,1999,23,5,,,,,,
Roberto Cartes,Chile,41,1.68,Midfielder,1999,7,1,,,,,,
Luis Mena Irarr&#xE1;zabal,Chile,34,1.78,Defender,1999,1,0,,,,,,
Alejandro Osorio,Chile,37,1.7,Midfielder,1999,8,0,,,,,,
Jaime Riveros,Chile,43,1.64,playmaker,1999,14,4,,,,,,
Jeaustin Campos,Costa Rica,43,1.75,Midfielder,1999,20,0,,,,,,
Carsten Fredgaard,Denmark,38,1.83,Midfielder,1999,1,0,,,,,,
Morten Wieghorst,Denmark,43,1.91,Midfielder,1999,30,3,,,,,,
Mate Baturina,Croatia,41,1.78,Midfielder,1999,1,0,,,,,,
Josip Bulat,Croatia,42,1.79,Defender,1999,1,0,,,,,,
Darko Miladin,Croatia,35,1.79,Defender,1999,1,0,,,,,,
Damir Milinovi&#x107;,Croatia,41,1.9,Defender,1999,1,0,,,,,,
Ivica Mornar,Croatia,40,1.86,Forward,1999,22,1,,,,,,
Alen Peternac,Croatia,42,1.85,Forward,1999,2,0,,,,,,
Renato Pilipovi&#x107;,Croatia,37,1.87,Midfielder,1999,1,0,,,,,,
Mario Stani&#x107;,Croatia,42,1.87,Forward,1999,49,7,,,,,,
Stefan Beinlich,Germany,42,1.8,Midfielder,1999,5,0,,,,,,
Oliver Bierhoff,Germany,46,1.91,Forward,1999,70,37,,,,,,
Fredi Bobic,Germany,42,1.88,Forward,1999,37,10,,,,,,
Mustafa Do&#x11F;an,Germany,38,1.8,Defender,1999,2,0,,,,,,
Heiko Gerber,Germany,42,1.81,Defender,1999,2,0,,,,,,
Horst Heldt,Germany,44,1.69,Midfielder,1999,2,0,,,,,,
Ronald Maul,Germany,41,1.73,Midfielder,1999,2,0,,,,,,
Marco Reich,Germany,36,,Midfielder,1999,1,0,,,,,,
Paulo Rink,Germany,41,1.84,Forward,1999,13,0,,,,,,
Martin Reim,Estonia,43,1.67,Midfielder,1999,1,0,,,,,,
Ugo Ehiogu,England,41,,Defender,1999,4,1,,,,,,
Robbie Fowler,England,39,,Forward,1999,26,7,,,,,,
Michael Gray (footballer),England,40,,Defender,1999,3,0,,,,,,
Steve Guppy,England,45,,Defender,1999,1,0,,,,,,
Tim Sherwood,England,45,,Midfielder,1999,3,0,,,,,,
Lionel Letizi,France,41,1.87,Goalkeeper,1999,4,0,,,,,,
St&#xE9;phane Porato,France,40,1.83,Goalkeeper,1999,1,0,,,,,,
Tony Vairelles,France,41,1.86,Forward,1999,8,1,,,,,,
Franklin Anangon&#xF3;,Ecuador,39,,Defender,1999,7,0,,,,,,
Nicol&#xE1;s Asencio,Ecuador,39,1.75,Forward,1999,20,0,,,,,,
Juan Carlos Burbano,Ecuador,45,1.69,Midfielder,1999,18,0,,,,,,
Mois&#xE9;s Candelario,Ecuador,35,1.78,Midfielder,1999,4,0,,,,,,
Bol&#xED;var G&#xF3;mez,Ecuador,37,1.77,Defender,1999,1,0,,,,,,
Luis Moreira,Ecuador,35,1.73,Forward,1999,6,0,,,,,,
Wellington S&#xE1;nchez,Ecuador,40,1.8,Midfielder,1999,44,3,,,,,,
B&#xE9;la Kov&#xE1;cs (footballer),Hungary,37,1.85,Midfielder,1999,1,0,,,,,,
Kriszti&#xE1;n Lisztes,Hungary,38,1.79,Midfielder,1999,49,9,,,,,,
Barnab&#xE1;s Sztip&#xE1;novics,Hungary,40,1.88,Forward,1999,1,0,,,,,,
Zolt&#xE1;n V&#xE9;gh,Hungary,43,1.86,Goalkeeper,1999,25,0,,,,,,
Eben Dugbatey,Ghana,41,1.8,Defender,1999,7,0,,,,,,
Nathaniel Lamptey,Ghana,31,1.77,Midfielder,1999,6,3,,,,,,
Alex Nyarko,Ghana,40,1.84,Midfielder,1999,11,2,,,,,,
Emmanuel Osei Kuffour,Ghana,38,1.82,Midfielder,1999,31,2,,,,,,
Owusu Benson,Ghana,37,1.75,Midfielder,1999,1,0,,,,,,
Nikos Dabizas,Greece,41,1.88,Defender,1999,70,0,,,,,,
Kostas Konstantinidis,Greece,41,1.87,Defender,1999,38,1,,,,,,
Sotiris Konstantinidis,Greece,37,1.8,Forward,1999,3,0,,,,,,
Giorgos Koutsis,Greece,40,1.85,Midfielder,1999,5,0,,,,,,
Kostas Louboutis,Greece,35,1.79,Defender,1999,1,0,,,,,,
Apostolos Liolidis,Greece,37,1.85,Forward,1999,2,1,,,,,,
Giannis Papadimitriou,Greece,38,1.73,Defender,1999,5,0,,,,,,
Vaughan Coveny,New Zealand,42,1.9,Forward,1999,64,28,,,,,,
Gavin Wilkinson,New Zealand,40,,Defender,1999,33,1,,,,,,
Sacha Schneider,Luxembourg,42,,Midfielder,1999,17,1,,,,,,
Claudio Su&#xE1;rez,Mexico,45,,Defender,1999,178,6,,,,,,
Germ&#xE1;n Villa,Mexico,41,1.77,Midfielder,1999,67,0,,,,,,
Yutaka Akita,Japan,44,1.8,Defender,1999,44,4,,,,,,
Teruyoshi Ito,Japan,39,1.68,Midfielder,1999,27,0,,,,,,
Shigeyoshi Mochizuki,Japan,41,1.76,Midfielder,1999,15,1,,,,,,
Takashi Shimoda,Japan,38,1.84,Goalkeeper,1999,1,0,,,,,,
Kota Yoshihara,Japan,36,1.7,Forward,1999,1,0,,,,,,
Eusebio Di Francesco,Italy,44,1.78,Midfielder,1999,12,1,,,,,,
Giuseppe Favalli,Italy,42,1.82,Defender,1999,8,0,,,,,,
Giuliano Giannichedda,Italy,39,1.79,Midfielder,1999,3,0,,,,,,
Gianluca Pessotto,Italy,44,1.73,Defender,1999,22,1,,,,,,
Alessio Tacchinardi,Italy,39,1.87,Midfielder,1999,13,0,,,,,,
Alon Harazi,Israel,43,1.79,Defender,1999,89,2,,,,,,
Avi Nimni,Israel,42,1.88,Forward,1999,80,17,,,,,,
Nir Sivilia,Israel,39,,Forward,1999,13,1,,,,,,
Ofer Talker,Israel,41,,Defender,1999,23,1,,,,,,
Alireza Akbarpour,Iran,41,,Midfielder,1999,3,0,,,,,,
Khodadad Azizi,Iran,43,1.69,Forward,1999,47,11,,,,,,
Mohammad Barzegar,Iran,38,,Midfielder,1999,2,0,,,,,,
Alireza Emamifar,Iran,39,,,1999,35,1,,,,,,
Dariush Yazdani,Iran,37,1.76,Midfielder,1999,63,0,,,,,,
V&#xED;ctor Bonilla,Colombia,43,1.77,Forward,1999,17,5,,,,,,
Jorge Bola&#xF1;o,Colombia,37,1.69,Midfielder,1999,36,1,,,,,,
V&#xED;ctor Pacheco,Colombia,39,1.67,Midfielder,1999,28,3,,,,,,
Pierre van Hooijdonk,Netherlands,44,1.93,Forward,1999,46,14,,,,,,
Patrick Kluivert,Netherlands,38,1.88,Forward,1999,79,40,,,,,,
Michael Reiziger,Netherlands,41,1.78,Defender,1999,72,1,,,,,,
Jeffrey Talan,Netherlands,42,1.75,Midfielder,1999,8,1,,,,,,
Sari Abacha,Nigeria,,1.85,Defender,1999,2,0,,,,,,
Ade Akinbiyi,Nigeria,39,,Forward,1999,1,0,,,,,,
Tijani Babangida,Nigeria,40,1.69,Midfielder,1999,36,5,,,,,,
Henry Onwuzuruike,Nigeria,34,1.78,Midfielder,1999,5,0,,,,,,
Capucho (footballer),Portugal,42,1.8,Midfielder,1999,34,2,,,,,,
Pedro Espinha,Portugal,48,1.78,Goalkeeper,1999,6,0,,,,,,
Rui Jorge,Portugal,41,1.7,Defender,1999,45,1,,,,,,
Hugo Leal,Portugal,34,1.8,Midfielder,1999,1,0,,,,,,
Rados&#x142;aw Gilewicz,Poland,43,1.74,Forward,1999,10,0,,,,,,
Ariel Jakubowski,Poland,36,1.82,Defender,1999,1,0,,,,,,
Cezary Kucharski,Poland,42,1.8,Forward,1999,17,3,,,,,,
Marcin Ku&#x17A;ba,Poland,37,,Forward,1999,6,2,,,,,,
Marcin Mi&#x119;ciel,Poland,38,1.85,Forward,1999,5,1,,,,,,
Krzysztof Pisku&#x142;a,Poland,41,1.81,Midfielder,1999,1,0,,,,,,
Piotr Reiss,Poland,42,1.78,Forward,1999,4,1,,,,,,
Rafa&#x142; Szwed,Poland,41,1.92,Midfielder,1999,1,0,,,,,,
Maciej Terlecki,Poland,37,1.78,Midfielder,1999,1,0,,,,,,
Grzegorz Tomala,Poland,39,1.96,Goalkeeper,1999,1,0,,,,,,
Jacek Zieli&#x144;ski (footballer born 1967),Poland,46,1.84,Defender,1999,60,1,,,,,,
Guido Alvarenga,Paraguay,43,1.7,Midfielder,1999,24,3,,,,,,
Francisco Esteche,Paraguay,40,1.76,Midfielder,1999,22,2,,,,,,
Tom&#xE1;s Alberto Gonz&#xE1;lez,Paraguay,36,1.76,Midfielder,1999,11,2,,,,,,
Artyom Bezrodny,Russia,35,1.8,Midfielder,1999,1,0,,,,,,
Sergei Ovchinnikov (footballer born 1970),Russia,43,1.85,Goalkeeper,1999,35,0,,,,,,
Craig Burley,Scotland,42,1.85,Midfielder,1999,46,3,,,,,,
Matt Elliott (footballer),Scotland,45,,Defender,1999,18,1,,,,,,
Scot Gemmill,Scotland,43,1.85,Midfielder,1999,26,1,,,,,,
Jonathan Gould,Scotland,46,,Goalkeeper,1999,2,0,,,,,,
Paul Lambert,Scotland,45,1.8,Midfielder,1999,40,1,,,,,,
Gary McSwegan,Scotland,43,,Forward,1999,2,1,,,,,,
Robbie Winters,Scotland,39,1.8,Forward,1999,1,0,,,,,,
Miran Pavlin,Slovenia,42,1.87,Midfielder,1999,63,5,,,,,,
Mladen Rudonja,Slovenia,43,1.75,Forward,1999,65,1,,,,,,
Choi Sung-yong,South Korea,38,1.73,Midfielder,1999,64,1,,,,,,
Choi Yong-soo,South Korea,40,1.84,Forward,1999,69,27,,,,,,
Gwak Kyung-keun,South Korea,41,1.84,Forward,1999,7,0,,,,,,
Ko Jong-soo,South Korea,35,1.76,Midfielder,1999,38,6,,,,,,
Lee Byung-keun,South Korea,41,1.75,Midfielder,1999,8,0,,,,,,
Lee Ki-hyung,South Korea,39,1.81,Defender,1999,47,6,,,,,,
Park Choong-kyun,South Korea,41,1.85,Defender,1999,6,0,,,,,,
Shin Byung-ho,South Korea,37,1.77,Forward,1999,2,0,,,,,,
Liviu Ciobotariu,Romania,43,1.88,Defender,1999,32,3,,,,,,
Constantin G&#xE2;lc&#x103;,Romania,42,1.75,Midfielder,1999,68,4,,,,,,
Adrian Ilie,Romania,40,1.8,Forward,1999,55,13,,,,,,
Ion Ionu&#x21B; Lu&#x21B;u,Romania,39,1.68,Midfielder,1999,1,0,,,,,,
Dumitru Mitri&#x21B;&#x103;,Romania,43,1.68,Defender,1999,1,0,,,,,,
C&#x103;t&#x103;lin Munteanu,Romania,35,1.72,Midfielder,1999,17,1,,,,,,
Dorinel Munteanu,Romania,46,1.69,Midfielder,1999,134,16,,,,,,
Viorel Moldovan,Romania,42,1.75,Forward,1999,70,25,,,,,,
Federico Bergara,Uruguay,42,1.74,Defender,1999,8,0,,,,,,
Christian Callejas,Uruguay,36,1.83,Midfielder,1999,14,1,,,,,,
Mart&#xED;n del Campo,Uruguay,39,1.78,Defender,1999,5,0,,,,,,
Fabi&#xE1;n Coelho,Uruguay,37,1.82,Midfielder,1999,20,0,,,,,,
Fernando Correa,Uruguay,40,1.79,Forward,1999,4,0,,,,,,
Carlos Richard D&#xED;az,Uruguay,35,1.68,Defender,1999,6,0,,,,,,
&#xC1;lvaro Adri&#xE1;n N&#xFA;&#xF1;ez,Uruguay,41,1.85,Goalkeeper,1999,1,0,,,,,,
Leonel Pilipauskas,Uruguay,39,1.8,Midfielder,1999,4,0,,,,,,
Inti Podest&#xE1;,Uruguay,36,1.75,Midfielder,1999,1,0,,,,,,
Antonio Esposito (footballer born 1972),Switzerland,41,1.85,Midfielder,1999,3,0,,,,,,
David Sesa,Switzerland,41,1.74,Midfielder,1999,36,1,,,,,,
Murat Yakin,Switzerland,39,1.86,Defender,1999,49,4,,,,,,
J&#xF6;rgen Pettersson (footballer),Sweden,38,1.79,Forward,1999,27,8,,,,,,
Mathias Svensson,Sweden,39,,Forward,1999,3,0,,,,,,
Ali Eren Be&#x15F;erler,Turkey,38,1.83,Defender,1999,6,0,,,,,,
Tayfur Havut&#xE7;u,Turkey,44,1.8,Midfielder,1999,44,6,,,,,,
Tugay Kerimo&#x11F;lu,Turkey,43,1.77,Midfielder,1999,94,2,,,,,,
Mert Korkmaz,Turkey,43,1.88,Defender,1999,5,0,,,,,,
Tayfun Korkut,Turkey,40,1.84,Midfielder,1999,42,1,,,,,,
Ramazan Tun&#xE7;,Turkey,38,1.85,Defender,1999,3,0,,,,,,
Oleksandr Kyryukhin,Ukraine,39,1.76,Defender,1999,2,0,,,,,,
Serhiy Kovalyov,Ukraine,42,1.76,Midfielder,1999,10,1,,,,,,
Serhiy Mizin,Ukraine,41,1.8,Midfielder,1999,7,0,,,,,,
Serhiy Rebrov,Ukraine,40,1.73,,1999,75,15,,,,,,
Oleksandr Zotov,Ukraine,39,1.86,Midfielder,1999,4,0,,,,,,
Agust&#xED;n Aranz&#xE1;bal,Spain,41,1.86,Defender,1999,28,0,,,,,,
Iv&#xE1;n Campo,Spain,40,1.85,Defender,1999,4,0,,,,,,
Daniel Garc&#xED;a Lara,Spain,39,1.83,Forward,1999,5,1,,,,,,
Vicente Engonga,Spain,48,1.81,Midfielder,1999,14,1,,,,,,
Aitor Karanka,Spain,40,1.81,Defender,1999,6,0,,,,,,
Ra&#xFA;l Tamudo,Spain,36,1.78,Forward,1999,2,1,,,,,,
Mat&#xED;as Almeyda,Argentina,40,1.75,Midfielder,1999.5,35,1,,,,,,
Claudio Husa&#xED;n,Argentina,39,1.8,Midfielder,1999.5,14,1,,,,,,
Ronny Gaspercic,Belgium,45,1.86,Goalkeeper,1999.5,8,0,,,,,,
Sven Vermant,Belgium,41,1.83,Midfielder,1999.5,18,0,,,,,,
Marcos Paulo Alves,Brazil,37,1.78,Midfielder,1999.5,3,1,,,,,,
Den&#xED;lson de Oliveira Ara&#xFA;jo,Brazil,36,1.78,Midfielder,1999.5,61,8,,,,,,
Giovane &#xC9;lber,Brazil,42,1.82,Forward,1999.5,15,7,,,,,,
Evan&#xED;lson,Brazil,38,1.78,Defender,1999.5,13,0,,,,,,
J&#xFA;nior Baiano,Brazil,44,,Defender,1999.5,25,2,,,,,,
Marcelinho Carioca,Brazil,43,1.67,Midfielder,1999.5,3,2,,,,,,
Sergio Claudio dos Santos,Brazil,43,1.81,Defender,1999.5,10,0,,,,,,
Patrice Abanda,Cameroon,36,1.88,Defender,1999.5,9,1,,,,,,
Patrick M&apos;Boma,Cameroon,43,1.85,Forward,1999.5,57,33,,,,,,
Michel Pens&#xE9;e,Cameroon,41,1.93,Defender,1999.5,5,0,,,,,,
Clarence Acu&#xF1;a,Chile,39,1.69,Midfielder,1999.5,60,3,,,,,,
Claudio N&#xFA;&#xF1;ez,Chile,38,,Forward,1999.5,31,4,,,,,,
Nelson Tapia,Chile,,1.82,Goalkeeper,1999.5,73,0,,,,,,
Carlos Tejas,Chile,42,1.83,Goalkeeper,1999.5,0,0,,,,,,
Alex Varas,Chile,,,Goalkeeper,1999.5,7,0,,,,,,
Thomas Rytter,Denmark,40,1.8,Defender,1999.5,4,0,,,,,,
Vladim&#xED;r &#x160;micer,Czech Republic,41,1.8,Midfielder,1999.5,80,27,,,,,,
Tom&#xE1;&#x161; Votava,Czech Republic,40,,Defender,1999.5,13,0,,,,,,
Stanko Bubalo,Croatia,41,1.85,Forward,1999.5,2,0,,,,,,
Mario Cvitanovi&#x107;,Croatia,39,1.82,Defender,1999.5,7,0,,,,,,
Silvio Mari&#x107;,Croatia,39,1.78,Midfielder,1999.5,19,1,,,,,,
Daniel &#x160;ari&#x107;,Croatia,42,1.78,Defender,1999.5,30,0,,,,,,
Josip &#x160;imi&#x107;,Croatia,36,1.82,Forward,1999.5,7,1,,,,,,
Jurica Vu&#x10D;ko,Croatia,37,1.84,Forward,1999.5,4,0,,,,,,
Michael Preetz,Germany,47,1.92,Forward,1999.5,7,3,,,,,,
Lars Ricken,Germany,38,1.78,Midfielder,1999.5,16,1,,,,,,
Martin Kaalma,Estonia,37,1.85,Goalkeeper,1999.5,35,0,,,,,,
Marek Lemsalu,Estonia,41,1.91,Defender,1999.5,86,3,,,,,,
Mark &#x160;vets,Estonia,37,,midifelder,1999.5,16,1,,,,,,
Ray Parlour,England,41,1.83,Midfielder,1999.5,10,0,,,,,,
Gareth Southgate,England,43,,Defender,1999.5,57,2,,,,,,
Alain Boghossian,France,43,1.85,Midfielder,1999.5,26,2,,,,,,
Vincent Candela,France,40,1.8,Defender,1999.5,40,5,,,,,,
Jhon Cagua,Ecuador,38,1.77,defense,1999.5,10,0,,,,,,
Santiago J&#xE1;come,Ecuador,41,,Defender,1999.5,3,0,,,,,,
Alfonso Obreg&#xF3;n,Ecuador,42,1.8,Midfielder,1999.5,58,0,,,,,,
Jairon Zamora,Ecuador,36,1.78,Midfielder,1999.5,7,0,,,,,,
Attila Kors&#xF3;s,Hungary,42,1.82,Midfielder,1999.5,11,3,,,,,,
P&#xE1;l Szalma,Hungary,32,1.88,Goalkeeper,1999.5,1,0,,,,,,
Samuel Kuffour,Ghana,37,1.78,Defender,1999.5,59,3,,,,,,
Yaw Preko,Ghana,39,1.8,Forward,1999.5,68,,,,,,,
Georgios Amanatidis,Greece,44,,Defender,1999.5,18,2,,,,,,
Thomas Kyparissis,Greece,44,1.87,Forward,1999.5,14,2,,,,,,
Dimitris Mavrogenidis,Greece,37,1.8,Defender,1999.5,24,1,,,,,,
Demis Nikolaidis,Greece,40,1.74,Forward,1999.5,54,17,,,,,,
Vassilios Tsiartas,Greece,41,1.86,Midfielder,1999.5,70,12,,,,,,
Leonidas Vokolos,Greece,43,1.92,Defender,1999.5,7,1,,,,,,
Hugo Caballero,Honduras,39,,Goalkeeper,1999.5,8,0,,,,,,
Ninrrol Medina,Honduras,37,,Defender,1999.5,53,0,,,,,,
Francisco Gabriel de Anda,Mexico,43,1.88,Defender,1999.5,13,2,,,,,,
Javier Saavedra,Mexico,41,1.7,Midfielder,1999.5,9,0,,,,,,
Antonio Sancho,Mexico,38,1.74,Midfielder,1999.5,4,0,,,,,,
Ces&#xE1;reo Victorino,Mexico,35,1.78,Midfielder,1999.5,13,0,,,,,,
Toshihiro Hattori,Japan,40,,Defender,1999.5,44,2,,,,,,
Eisuke Nakanishi,Japan,41,1.74,Defender,1999.5,14,0,,,,,,
Tomas Locatelli,Italy,38,1.75,Midfielder,1999.5,2,0,,,,,,
Francesco Toldo,Italy,42,1.96,Goalkeeper,1999.5,28,0,,,,,,
Paolo Vanoli,Italy,42,1.8,Defender,1999.5,2,1,,,,,,
