Playername,Country,Age,Height,Position,Mean Year,Appearances,Goals,,,,,,
Robert Glen,Scotland,,,Defender,1897.5,3,0,,,,,,
Jimmy Crabtree,England,,,Defender,1898,14,0,,,,,,
Ben Garfield,England,,,Forward,1898,1,0,,,,,,
Tommy Morren,England,,,Midfielder,1898,1,0,,,,,,
Ernest Needham,England,,,Midfielder,1898,16,3,,,,,,
Tom Perry (footballer),England,,,Midfielder,1898,1,0,,,,,,
Charlie Richards,England,,,Forward,1898,1,0,,,,,,
John Willie Sutcliffe,England,,,Goalkeeper,1898,5,0,,,,,,
Billy Williams (footballer born 1876),England,,,Defender,1898,6,0,,,,,,
John Campbell (footballer born 1871),Scotland,,,Forward,1898,12,4,,,,,,
Robert Findlay (footballer),Scotland,,,Forward,1898,1,0,,,,,,
James Gillespie (footballer),Scotland,,,Forward,1898,1,3,,,,,,
James McKie (Scottish footballer),Scotland,,,Forward,1898,1,2,,,,,,
Tom Robertson,Scotland,,,Forward,1898,1,1,,,,,,
Davie Russell,Scotland,,,,1898,6,1,,,,,,
Alex Christie (footballer born 1873),Scotland,,,Midfielder,1898.5,3,1,,,,,,
Matthew Dickie,Scotland,,,Goalkeeper,1898.5,3,0,,,,,,
Hugh Morgan (footballer born 1869),Scotland,,,Forward,1898.5,2,0,,,,,,
Philip Bach,England,,,Defender,1899,1,0,,,,,,
Fred Forman,England,,,Forward,1899,3,2,,,,,,
Jack Hillman,England,,,Goalkeeper,1899,1,0,,,,,,
Jack Robinson (footballer born 1870),England,,,Goalkeeper,1899,11,0,,,,,,
Harry Thickett,England,,,Defender,1899,2,0,,,,,,
Tommy Crawshaw,England,,,Midfielder,1899.5,10,1,,,,,,
Arthur Chadwick,England,,,Midfielder,1900,2,0,,,,,,
Dan Cunliffe,England,,,Forward,1900,1,0,,,,,,
John Plant (footballer),England,,,Forward,1900,1,0,,,,,,
Fred Priest,England,,,Forward,1900,1,0,,,,,,
Alf Spouncer,England,,,Forward,1900,1,0,,,,,,
John Campbell (footballer born 1877),Scotland,,,Forward,1900,4,6,,,,,,
Neilly Gibson,Scotland,,,,1900,14,1,,,,,,
Tom Booth,England,,,Midfielder,1900.5,2,0,,,,,,
Frank Forman,England,,,Midfielder,1900.5,9,1,,,,,,
Archie Turner,England,,,Forward,1900.5,2,0,,,,,,
Herbert Banks,England,,,Forward,1901,1,0,,,,,,
Walter Bennett (footballer),England,,,Forward,1901,2,0,,,,,,
Steve Bloomer,England,,,Forward,1901,23,28,,,,,,
C. B. Fry,England,,,Defender,1901,1,0,,,,,,
William Jones (English footballer born 1876),England,,,Midfielder,1901,1,0,,,,,,
Charlie Sagar,England,,,Forward,1901,2,1,,,,,,
Jimmy Settle,England,,,Forward,1901,6,6,,,,,,
George Anderson (footballer born 1877),Scotland,,,Defender,1901,1,0,,,,,,
Mark Bell (footballer),Scotland,,,Forward,1901,1,0,,,,,,
Billy Bannister,England,,,Defender,1901.5,2,0,,,,,,
Billy Beats,England,,,Forward,1901.5,2,0,,,,,,
Harry Johnson (footballer born 1876),England,,,Midfielder,1901.5,6,1,,,,,,
Walter Abbott,England,,,Forward,1902,1,0,,,,,,
John Calvey,England,,,Forward,1902,1,0,,,,,,
Jack Cox (footballer),England,,,Midfielder,1902,3,0,,,,,,
Billy George,England,,,Goalkeeper,1902,3,0,,,,,,
Billy Hogg,England,,,Forward,1902,3,0,,,,,,
Bert Lipsham,England,,,Midfielder,1902,1,0,,,,,,
Gyula B&#xE1;donyi,Hungary,,,Goalkeeper,1902,,,,,,,,
Jesza Poszony,Hungary,,,,1902,1,0,,,,,,
Albert Buick,Scotland,,,Midfielder,1902,2,2,,,,,,
Henry Allan (footballer),Scotland,,,Defender,1902,1,0,,,,,,
George Key,Scotland,,,Midfielder,1902,1,0,,,,,,
William Maxwell (footballer),Scotland,,,Forward,1902,1,0,,,,,,
Ronald Orr,Scotland,,1.65,Forward,1902,4,1,,,,,,
George Molyneux,England,,,Defender,1902.5,4,0,,,,,,
John Tait Robertson,Scotland,,,Defender,1902.5,6,1,,,,,,
Arthur Capes,England,,,Forward,1903,1,0,,,,,,
Rex Corbett,England,,,Forward,1903,1,0,,,,,,
